RIDAGEYR,INDFMPIR
72.0,2.29
69.0,5.0
64.0,1.01
69.0,0.77
5.0,4.56
16.0,2.69
52.0,0.85
76.0,2.73
37.0,0.89
55.0,0.88
57.0,3.28
34.0,1.35
80.0,5.0
70.0,1.61
25.0,1.84
15.0,3.15
68.0,2.21
67.0,5.0
25.0,1.37
5.0,0.56
12.0,2.03
9.0,0.51
62.0,5.0
16.0,2.98
58.0,1.4
73.0,2.13
72.0,2.17
8.0,2.43
32.0,5.0
44.0,3.18
14.0,0.83
27.0,1.15
12.0,2.21
1.0,1.22
20.0,1.91
15.0,1.44
5.0,4.0
11.0,0.49
33.0,3.09
7.0,3.24
51.0,1.09
66.0,0.88
64.0,5.0
2.0,1.14
22.0,4.37
58.0,5.0
4.0,2.85
77.0,2.87
28.0,1.44
46.0,5.397605346934028e-79
69.0,4.42
8.0,0.75
48.0,3.88
5.0,1.03
68.0,2.13
65.0,1.51
46.0,0.79
14.0,0.41
62.0,1.75
76.0,1.85
68.0,5.0
15.0,1.99
13.0,5.0
19.0,0.24
76.0,5.0
2.0,1.81
6.0,5.0
68.0,2.57
40.0,2.58
2.0,4.33
64.0,1.26
4.0,5.0
29.0,2.82
62.0,4.57
33.0,1.81
38.0,1.85
45.0,0.86
68.0,4.31
34.0,5.0
80.0,1.16
6.0,0.01
68.0,0.18
57.0,5.397605346934028e-79
62.0,5.397605346934028e-79
4.0,1.05
4.0,0.91
9.0,3.41
65.0,1.03
36.0,4.32
43.0,1.91
22.0,0.34
14.0,3.33
70.0,1.62
71.0,1.23
22.0,1.48
4.0,3.13
57.0,1.61
5.0,3.41
11.0,1.55
50.0,0.23
67.0,5.0
40.0,0.75
30.0,5.397605346934028e-79
15.0,5.0
19.0,4.88
58.0,1.39
66.0,1.84
43.0,5.0
11.0,0.84
4.0,0.72
33.0,1.69
80.0,2.47
39.0,5.0
15.0,2.26
5.0,0.83
52.0,3.22
12.0,3.69
4.0,2.39
14.0,5.0
47.0,3.45
73.0,5.0
56.0,0.88
63.0,4.37
4.0,3.37
52.0,0.92
35.0,0.65
77.0,3.11
60.0,0.66
80.0,1.16
69.0,1.44
59.0,0.85
5.397605346934028e-79,2.39
13.0,5.397605346934028e-79
22.0,4.62
51.0,2.58
12.0,1.09
36.0,2.8
4.0,0.97
3.0,2.7
71.0,5.0
8.0,1.71
11.0,5.0
8.0,2.54
14.0,1.61
79.0,3.3
33.0,5.0
22.0,5.397605346934028e-79
73.0,3.55
62.0,4.23
16.0,5.0
63.0,2.25
42.0,3.68
45.0,5.0
61.0,1.13
44.0,2.0
60.0,5.0
56.0,0.88
16.0,1.4
79.0,1.85
27.0,4.83
46.0,1.1
43.0,5.0
72.0,5.0
16.0,0.02
74.0,1.69
6.0,1.44
13.0,0.88
8.0,5.0
2.0,5.0
14.0,1.91
80.0,3.28
13.0,2.17
4.0,4.43
50.0,5.0
78.0,4.92
10.0,0.48
80.0,5.0
65.0,3.3
11.0,5.0
49.0,0.94
23.0,2.94
65.0,5.0
12.0,0.61
19.0,3.36
71.0,2.54
4.0,4.5
10.0,2.2
39.0,2.88
30.0,1.75
67.0,3.82
46.0,5.0
60.0,3.69
40.0,2.5
64.0,5.0
64.0,5.0
2.0,5.0
4.0,1.31
12.0,3.07
16.0,0.96
28.0,2.15
3.0,2.17
70.0,4.69
46.0,1.16
6.0,0.87
34.0,1.12
2.0,2.26
13.0,3.77
51.0,5.0
49.0,4.68
79.0,1.64
8.0,0.92
28.0,5.0
9.0,5.0
13.0,0.66
80.0,1.11
57.0,2.21
59.0,3.42
32.0,0.72
67.0,2.81
43.0,0.55
37.0,5.0
40.0,0.04
31.0,5.0
44.0,5.0
7.0,2.75
52.0,2.19
37.0,0.41
44.0,5.0
41.0,3.06
3.0,2.39
66.0,5.0
8.0,0.04
14.0,4.1
5.397605346934028e-79,4.34
62.0,1.48
61.0,2.07
49.0,0.27
23.0,0.58
37.0,2.17
32.0,2.21
63.0,4.05
5.397605346934028e-79,0.38
80.0,0.96
45.0,2.34
70.0,1.69
30.0,1.09
30.0,5.0
66.0,3.23
80.0,0.43
12.0,0.73
60.0,0.13
27.0,5.0
32.0,5.0
3.0,4.31
17.0,0.76
43.0,2.16
13.0,2.96
3.0,0.87
11.0,0.72
69.0,3.3
29.0,5.0
17.0,2.48
18.0,0.52
58.0,5.0
70.0,4.37
51.0,5.0
35.0,2.38
17.0,1.22
76.0,3.28
8.0,5.0
37.0,1.39
4.0,0.16
13.0,0.87
59.0,0.03
75.0,2.75
71.0,0.37
51.0,0.96
50.0,5.0
35.0,5.0
23.0,2.74
62.0,5.0
3.0,5.0
15.0,1.71
1.0,2.63
8.0,2.0
19.0,3.42
28.0,2.47
6.0,5.0
33.0,2.43
59.0,2.8
14.0,0.81
12.0,0.27
3.0,0.64
52.0,2.28
23.0,1.53
63.0,5.0
25.0,5.0
64.0,1.94
34.0,4.42
67.0,4.55
16.0,0.61
73.0,2.32
63.0,1.8
58.0,5.0
64.0,1.58
73.0,3.29
37.0,0.96
36.0,5.0
13.0,1.08
61.0,0.74
80.0,3.26
11.0,0.06
66.0,2.59
63.0,3.82
29.0,1.07
71.0,2.73
64.0,3.8
5.0,3.47
35.0,1.51
18.0,5.0
63.0,3.3
18.0,5.0
46.0,1.55
26.0,3.7
40.0,1.05
37.0,2.93
8.0,1.07
80.0,2.62
60.0,1.25
64.0,5.0
66.0,5.0
43.0,4.05
13.0,2.96
75.0,1.86
62.0,0.81
58.0,1.57
56.0,0.75
71.0,0.19
35.0,2.4
80.0,2.18
55.0,0.61
70.0,5.0
36.0,4.49
72.0,3.34
78.0,2.94
37.0,5.0
65.0,1.37
60.0,3.6
4.0,0.57
8.0,0.4
63.0,5.0
43.0,5.0
61.0,5.397605346934028e-79
75.0,3.47
47.0,3.22
38.0,3.77
8.0,1.34
6.0,5.0
31.0,2.05
52.0,1.18
36.0,5.0
80.0,2.32
15.0,0.99
6.0,5.0
20.0,1.37
2.0,0.3
63.0,5.0
79.0,5.0
36.0,3.4
26.0,5.0
50.0,4.1
15.0,2.03
75.0,1.51
65.0,4.15
62.0,5.0
70.0,1.3
4.0,5.0
2.0,1.25
57.0,5.0
80.0,2.33
68.0,3.39
67.0,0.96
13.0,0.02
42.0,4.6
10.0,3.06
48.0,0.49
55.0,3.13
61.0,4.67
80.0,1.03
62.0,2.73
80.0,1.65
2.0,1.03
80.0,1.64
76.0,5.0
54.0,2.21
14.0,1.91
69.0,2.18
55.0,5.397605346934028e-79
80.0,1.91
2.0,5.0
15.0,5.0
64.0,2.71
38.0,4.31
67.0,4.05
16.0,2.17
40.0,5.0
11.0,1.0
15.0,0.01
12.0,1.59
43.0,3.28
10.0,1.61
25.0,3.62
66.0,3.7
52.0,3.27
3.0,5.0
56.0,5.0
9.0,3.84
59.0,5.0
33.0,5.0
80.0,1.65
45.0,0.82
56.0,1.07
43.0,5.0
43.0,1.97
8.0,2.42
34.0,2.85
11.0,1.3
7.0,0.48
5.397605346934028e-79,3.6
78.0,5.0
25.0,0.37
11.0,2.5
74.0,3.55
13.0,2.98
4.0,5.0
10.0,4.33
2.0,2.83
79.0,1.75
65.0,0.79
4.0,1.19
73.0,4.62
32.0,4.86
14.0,2.31
75.0,3.57
8.0,5.0
65.0,0.38
59.0,1.9
75.0,0.88
12.0,2.28
65.0,4.92
51.0,5.397605346934028e-79
71.0,3.3
49.0,3.11
48.0,0.34
23.0,0.93
79.0,3.91
32.0,2.31
80.0,5.0
78.0,2.46
64.0,2.18
62.0,2.79
2.0,1.07
14.0,5.0
61.0,4.59
35.0,5.0
30.0,4.4
8.0,0.23
17.0,1.22
15.0,1.94
27.0,5.0
35.0,3.57
13.0,3.42
33.0,1.86
2.0,5.0
32.0,0.42
16.0,2.19
70.0,5.0
61.0,5.0
58.0,2.33
21.0,0.52
5.397605346934028e-79,0.74
15.0,0.65
67.0,4.8
5.0,4.45
2.0,0.23
44.0,2.34
68.0,4.12
48.0,3.17
58.0,5.0
35.0,1.78
63.0,1.99
62.0,5.0
20.0,1.94
52.0,5.0
18.0,1.89
65.0,2.86
6.0,0.06
80.0,5.0
53.0,2.8
41.0,2.33
9.0,3.08
33.0,0.88
2.0,0.38
16.0,3.06
48.0,5.0
36.0,2.74
5.397605346934028e-79,3.34
44.0,4.34
15.0,1.3
42.0,2.08
33.0,3.68
62.0,1.4
55.0,3.44
19.0,0.23
63.0,5.0
3.0,5.0
5.0,5.0
5.397605346934028e-79,3.14
10.0,0.77
3.0,3.33
28.0,2.79
24.0,5.0
72.0,5.0
72.0,2.35
1.0,2.45
67.0,2.75
8.0,3.53
62.0,4.06
57.0,1.23
8.0,2.56
12.0,0.25
36.0,3.39
65.0,1.58
41.0,2.82
35.0,0.45
56.0,1.09
6.0,2.82
4.0,0.88
23.0,2.33
8.0,1.86
73.0,4.56
32.0,4.78
22.0,0.82
45.0,2.92
4.0,5.0
80.0,1.53
15.0,4.22
61.0,3.28
10.0,0.72
58.0,1.12
9.0,5.0
65.0,5.0
13.0,0.34
70.0,1.72
27.0,2.61
9.0,3.13
63.0,5.0
63.0,0.98
62.0,4.34
15.0,1.59
56.0,3.3
77.0,2.41
42.0,4.88
76.0,3.55
28.0,4.32
14.0,5.397605346934028e-79
3.0,1.71
33.0,2.77
74.0,0.75
60.0,1.71
36.0,2.47
61.0,4.67
11.0,3.87
9.0,2.47
61.0,5.0
68.0,2.83
70.0,1.51
56.0,5.0
66.0,3.6
65.0,2.16
35.0,3.98
56.0,3.76
3.0,1.86
9.0,0.96
13.0,1.12
31.0,5.0
80.0,1.69
16.0,1.46
39.0,5.0
3.0,4.67
63.0,2.11
44.0,5.0
74.0,5.0
66.0,3.66
5.0,5.0
65.0,5.0
4.0,4.31
9.0,2.79
8.0,5.0
7.0,1.28
16.0,1.52
76.0,3.28
8.0,0.5
67.0,2.54
17.0,5.0
35.0,5.0
69.0,5.0
7.0,0.91
54.0,4.05
70.0,1.07
70.0,2.46
59.0,5.0
49.0,2.94
18.0,1.57
10.0,4.32
18.0,1.12
66.0,5.0
48.0,4.48
16.0,1.01
11.0,1.12
63.0,5.0
22.0,2.79
16.0,4.1
19.0,5.0
4.0,3.6
59.0,5.0
53.0,5.0
21.0,1.71
43.0,4.33
12.0,0.83
41.0,1.37
76.0,4.0
77.0,2.69
18.0,4.03
18.0,3.47
80.0,1.35
77.0,2.05
50.0,1.1
3.0,1.1
60.0,0.78
74.0,3.02
71.0,5.0
10.0,1.37
48.0,5.0
25.0,5.0
16.0,5.0
5.397605346934028e-79,5.0
67.0,5.0
17.0,5.0
35.0,1.61
7.0,5.0
23.0,2.3
10.0,0.61
23.0,1.34
12.0,0.01
71.0,5.0
3.0,3.69
79.0,2.4
80.0,3.68
5.397605346934028e-79,2.86
64.0,1.06
27.0,1.48
11.0,0.81
71.0,5.0
73.0,5.0
80.0,5.0
49.0,5.0
24.0,1.91
64.0,0.69
35.0,1.91
25.0,4.45
5.0,3.7
16.0,3.22
13.0,2.92
27.0,5.0
21.0,0.55
15.0,3.69
59.0,2.84
8.0,5.0
56.0,3.9
8.0,5.0
36.0,5.0
1.0,0.48
32.0,1.3
51.0,1.65
9.0,5.0
53.0,4.82
46.0,5.0
25.0,3.28
19.0,5.0
39.0,1.51
23.0,1.09
52.0,5.0
13.0,0.3
70.0,5.0
16.0,2.41
5.397605346934028e-79,1.39
41.0,0.14
55.0,5.0
4.0,2.16
21.0,5.0
1.0,0.01
61.0,4.82
1.0,0.46
68.0,2.84
14.0,1.99
61.0,1.78
64.0,4.92
45.0,5.0
7.0,0.94
41.0,2.17
13.0,2.86
3.0,1.85
7.0,1.61
47.0,0.81
43.0,0.77
31.0,5.0
50.0,1.98
5.397605346934028e-79,0.61
4.0,5.0
59.0,1.99
74.0,3.68
5.0,0.02
16.0,3.06
4.0,0.63
68.0,5.0
69.0,5.0
9.0,5.0
5.397605346934028e-79,2.4
59.0,0.52
51.0,1.78
15.0,5.0
33.0,5.0
63.0,5.0
48.0,1.77
27.0,1.44
50.0,2.46
28.0,1.74
63.0,5.0
65.0,5.0
72.0,2.67
34.0,1.71
69.0,5.0
33.0,1.42
66.0,1.81
61.0,5.0
80.0,1.06
26.0,2.8
56.0,0.26
12.0,2.83
67.0,2.58
60.0,3.62
66.0,5.0
52.0,3.28
39.0,1.85
39.0,2.73
12.0,5.0
15.0,5.0
5.0,1.48
18.0,3.42
65.0,1.42
12.0,1.21
4.0,2.17
4.0,1.85
57.0,5.397605346934028e-79
68.0,5.0
48.0,4.63
14.0,5.0
29.0,3.13
36.0,0.74
11.0,3.42
62.0,1.77
53.0,5.0
64.0,1.47
59.0,0.1
5.0,2.85
8.0,0.45
42.0,4.56
14.0,5.0
1.0,2.05
62.0,0.29
5.397605346934028e-79,4.93
75.0,2.4
52.0,1.02
16.0,1.8
59.0,0.83
71.0,0.82
56.0,5.0
8.0,1.52
60.0,1.85
9.0,5.0
11.0,3.42
57.0,5.0
60.0,0.82
35.0,3.82
41.0,2.8
59.0,1.27
45.0,0.33
65.0,1.25
47.0,1.32
17.0,2.16
32.0,4.53
7.0,0.45
17.0,1.52
78.0,5.0
39.0,5.0
59.0,0.1
72.0,1.97
63.0,3.97
39.0,0.48
59.0,1.58
5.397605346934028e-79,0.48
13.0,1.49
5.397605346934028e-79,0.52
8.0,0.03
55.0,0.68
31.0,0.52
53.0,1.21
70.0,4.64
14.0,1.8
34.0,0.3
79.0,2.15
32.0,1.8
44.0,0.71
30.0,1.06
46.0,1.43
3.0,0.34
12.0,1.54
50.0,1.03
43.0,2.11
20.0,1.06
52.0,5.0
1.0,1.33
8.0,0.19
15.0,4.03
12.0,5.0
56.0,5.0
2.0,1.37
58.0,1.37
10.0,5.0
70.0,1.11
55.0,1.69
53.0,2.12
9.0,0.86
37.0,5.0
39.0,5.0
42.0,4.04
4.0,1.49
73.0,5.0
35.0,2.67
13.0,0.55
48.0,0.8
35.0,4.11
66.0,5.0
17.0,0.67
8.0,2.16
60.0,5.397605346934028e-79
44.0,5.0
52.0,2.77
16.0,3.23
80.0,5.0
52.0,3.7
74.0,1.06
34.0,0.98
77.0,2.06
29.0,4.16
65.0,4.56
46.0,1.99
15.0,3.16
80.0,2.62
60.0,2.08
8.0,5.0
80.0,1.11
48.0,1.26
52.0,5.0
33.0,1.54
64.0,2.79
31.0,2.0
62.0,4.55
24.0,1.69
30.0,1.09
65.0,4.37
79.0,5.0
50.0,0.66
5.0,0.52
44.0,5.0
30.0,1.25
2.0,0.2
58.0,5.0
26.0,5.0
56.0,0.68
48.0,2.66
73.0,4.42
52.0,5.0
65.0,2.43
69.0,5.0
55.0,2.92
52.0,2.61
39.0,5.0
73.0,1.37
13.0,4.25
72.0,1.01
59.0,2.21
38.0,1.42
1.0,3.24
48.0,2.82
62.0,5.0
10.0,3.4
42.0,5.0
44.0,4.1
18.0,0.85
59.0,0.04
41.0,1.08
16.0,3.73
16.0,0.7
24.0,2.85
16.0,4.71
31.0,0.97
10.0,5.0
5.0,1.08
76.0,0.72
12.0,0.52
34.0,0.87
33.0,5.0
4.0,4.32
18.0,1.23
7.0,1.97
66.0,3.77
80.0,3.22
5.0,4.32
5.397605346934028e-79,0.32
6.0,0.61
8.0,0.49
33.0,3.96
48.0,4.1
8.0,2.77
35.0,5.0
28.0,5.0
61.0,1.84
19.0,0.93
38.0,5.0
45.0,2.82
55.0,1.27
18.0,2.96
5.0,0.43
10.0,1.42
75.0,1.93
58.0,4.02
53.0,2.89
49.0,1.94
54.0,2.15
56.0,0.65
45.0,5.0
46.0,5.0
40.0,5.0
43.0,0.84
70.0,0.77
72.0,5.0
12.0,0.09
8.0,0.63
25.0,1.4
45.0,5.0
8.0,0.53
31.0,5.0
2.0,1.85
4.0,2.85
5.0,1.99
70.0,5.0
65.0,5.0
74.0,5.0
7.0,0.01
21.0,0.82
52.0,1.78
43.0,1.64
75.0,1.52
14.0,5.0
69.0,1.92
55.0,4.59
1.0,0.88
12.0,1.61
59.0,3.55
47.0,0.77
7.0,3.6
16.0,3.33
62.0,4.1
25.0,4.42
40.0,2.09
13.0,0.8
8.0,0.86
7.0,5.0
18.0,2.71
61.0,3.86
73.0,1.0
53.0,5.0
20.0,5.397605346934028e-79
69.0,4.37
28.0,3.98
19.0,5.0
65.0,2.0
5.0,1.85
9.0,5.0
8.0,0.95
34.0,2.77
64.0,5.0
9.0,2.03
22.0,2.82
71.0,1.54
25.0,0.72
63.0,3.3
26.0,1.01
63.0,0.82
16.0,0.98
41.0,5.0
33.0,1.91
38.0,5.0
70.0,4.93
12.0,3.96
27.0,0.62
4.0,1.8
76.0,1.64
66.0,4.83
9.0,1.14
6.0,5.0
77.0,3.58
28.0,1.94
71.0,2.44
80.0,1.41
32.0,2.61
69.0,3.24
17.0,0.61
39.0,5.0
2.0,2.39
4.0,2.93
71.0,3.69
80.0,2.33
8.0,2.32
61.0,3.49
25.0,1.59
35.0,0.81
60.0,0.96
13.0,0.68
59.0,3.6
15.0,5.0
37.0,0.96
60.0,1.91
16.0,3.13
32.0,2.69
9.0,3.6
3.0,0.16
12.0,5.0
38.0,0.55
63.0,1.4
30.0,0.86
8.0,0.56
59.0,4.83
3.0,1.0
62.0,3.91
53.0,1.32
26.0,0.68
75.0,0.75
6.0,0.65
47.0,0.33
4.0,3.08
80.0,2.87
72.0,0.96
67.0,5.0
65.0,4.34
4.0,1.09
48.0,0.96
59.0,4.12
58.0,1.43
77.0,3.96
26.0,3.22
34.0,4.33
16.0,5.0
5.397605346934028e-79,2.85
69.0,2.57
7.0,0.52
1.0,2.31
53.0,0.81
29.0,0.35
9.0,0.94
20.0,0.7
16.0,1.6
5.0,0.02
63.0,2.21
14.0,2.96
71.0,3.09
72.0,1.84
5.397605346934028e-79,5.0
76.0,1.76
80.0,1.51
26.0,1.51
1.0,0.8
34.0,3.26
70.0,5.0
70.0,1.86
3.0,3.27
37.0,4.32
11.0,0.1
34.0,5.0
8.0,3.47
19.0,2.73
71.0,4.69
3.0,3.97
50.0,2.58
71.0,1.06
73.0,3.3
10.0,0.93
3.0,5.0
5.0,4.59
69.0,0.62
19.0,1.52
67.0,5.397605346934028e-79
64.0,5.0
3.0,4.55
69.0,1.64
6.0,1.05
12.0,1.17
16.0,1.51
53.0,2.73
63.0,0.93
32.0,5.0
7.0,0.23
6.0,5.0
54.0,1.32
6.0,1.21
53.0,5.0
60.0,5.0
14.0,3.58
4.0,0.75
62.0,5.0
5.397605346934028e-79,0.45
18.0,0.07
80.0,5.0
12.0,2.92
44.0,2.92
56.0,1.95
68.0,5.0
76.0,2.58
52.0,5.0
39.0,3.0
65.0,5.0
71.0,0.96
4.0,0.48
5.397605346934028e-79,2.39
38.0,2.92
22.0,2.19
80.0,0.88
30.0,5.0
72.0,5.0
8.0,3.54
13.0,0.74
70.0,3.8
14.0,1.44
16.0,1.1
10.0,5.0
34.0,5.0
76.0,5.0
65.0,1.26
2.0,1.98
61.0,5.0
37.0,0.88
21.0,5.0
70.0,4.12
60.0,5.0
80.0,0.41
28.0,5.0
9.0,0.65
30.0,3.43
14.0,0.83
13.0,0.85
10.0,0.58
51.0,5.0
58.0,2.47
79.0,2.46
47.0,1.97
69.0,1.13
5.397605346934028e-79,2.28
80.0,2.03
8.0,0.02
61.0,5.0
80.0,1.52
32.0,1.42
7.0,1.16
8.0,5.0
4.0,0.3
73.0,0.82
18.0,3.7
29.0,3.09
5.397605346934028e-79,5.0
52.0,0.74
60.0,5.0
8.0,2.46
70.0,2.41
48.0,4.02
49.0,3.06
61.0,1.12
14.0,2.41
52.0,5.0
43.0,4.02
4.0,5.0
14.0,2.56
80.0,0.93
7.0,1.09
54.0,0.74
75.0,1.78
51.0,2.21
31.0,5.0
31.0,2.18
40.0,4.0
80.0,0.18
37.0,4.59
1.0,4.68
80.0,0.62
73.0,5.0
66.0,2.39
30.0,1.12
14.0,5.0
10.0,0.4
34.0,2.85
6.0,4.32
9.0,5.0
74.0,4.56
50.0,2.58
43.0,2.96
6.0,0.57
1.0,1.29
56.0,4.8
22.0,0.63
30.0,2.09
59.0,3.28
16.0,5.0
58.0,5.397605346934028e-79
80.0,4.36
73.0,3.28
56.0,5.0
61.0,5.0
73.0,1.3
30.0,1.18
35.0,3.12
25.0,3.86
7.0,1.71
4.0,1.99
80.0,1.26
68.0,5.0
15.0,0.57
3.0,5.0
34.0,1.09
6.0,2.03
4.0,0.13
26.0,5.0
14.0,5.0
18.0,3.83
80.0,3.08
35.0,0.73
19.0,0.4
1.0,5.0
70.0,1.77
10.0,0.77
36.0,0.48
28.0,2.9
67.0,0.7
17.0,5.0
51.0,5.0
55.0,5.0
66.0,0.83
39.0,3.55
5.0,1.09
29.0,0.02
63.0,1.69
69.0,3.04
15.0,2.18
12.0,0.43
36.0,0.69
14.0,3.08
75.0,2.51
70.0,2.82
62.0,4.67
12.0,2.96
13.0,1.23
74.0,5.0
31.0,5.0
70.0,1.75
34.0,1.85
4.0,5.0
21.0,3.97
21.0,1.08
6.0,5.0
80.0,2.88
4.0,3.33
68.0,0.79
13.0,5.0
76.0,2.61
39.0,2.88
10.0,1.67
41.0,1.92
53.0,2.56
42.0,1.92
52.0,1.49
54.0,2.65
36.0,3.46
8.0,1.2
69.0,1.8
29.0,1.4
1.0,0.65
40.0,3.71
11.0,0.4
80.0,1.62
31.0,1.05
76.0,3.9
5.0,3.91
35.0,0.82
33.0,3.31
26.0,1.0
7.0,1.26
61.0,5.0
3.0,1.05
61.0,2.33
14.0,0.84
11.0,5.0
45.0,1.23
44.0,5.0
24.0,5.0
13.0,2.86
4.0,5.0
10.0,0.01
31.0,1.33
62.0,1.03
72.0,5.0
29.0,4.94
80.0,4.34
60.0,3.32
1.0,0.84
2.0,4.67
80.0,2.87
6.0,1.55
29.0,5.0
17.0,5.397605346934028e-79
61.0,1.82
21.0,0.65
46.0,5.0
25.0,4.1
68.0,5.0
69.0,4.92
58.0,5.0
33.0,2.73
71.0,3.38
76.0,1.69
26.0,4.42
78.0,2.06
62.0,0.82
75.0,2.03
1.0,2.09
28.0,0.29
62.0,1.23
68.0,0.88
51.0,0.79
18.0,5.0
3.0,5.0
76.0,2.03
18.0,1.67
62.0,3.39
9.0,0.14
15.0,1.57
16.0,0.62
21.0,3.13
47.0,0.52
51.0,0.79
27.0,5.0
2.0,0.92
22.0,1.85
66.0,1.38
21.0,0.21
55.0,5.0
13.0,3.68
31.0,5.0
19.0,0.26
14.0,5.0
38.0,4.45
74.0,1.61
40.0,3.42
5.0,0.5
17.0,3.13
5.397605346934028e-79,1.14
80.0,3.58
16.0,2.16
15.0,5.0
13.0,0.48
38.0,3.0
49.0,4.14
68.0,0.69
55.0,5.0
60.0,0.71
28.0,4.1
61.0,1.3
12.0,0.63
75.0,3.54
3.0,1.74
35.0,5.0
8.0,2.43
77.0,4.55
27.0,5.0
53.0,5.0
58.0,5.0
14.0,3.6
49.0,0.06
40.0,3.6
24.0,5.0
10.0,1.09
62.0,4.32
80.0,1.4
24.0,5.397605346934028e-79
5.397605346934028e-79,1.0
79.0,2.58
7.0,5.0
21.0,3.04
9.0,2.78
65.0,4.44
44.0,1.96
80.0,5.0
64.0,5.0
25.0,5.0
45.0,4.66
74.0,3.77
13.0,0.68
75.0,3.04
74.0,5.0
73.0,1.47
3.0,0.68
56.0,1.7
42.0,2.72
8.0,2.77
70.0,2.33
17.0,5.0
35.0,5.0
60.0,1.3
27.0,5.0
16.0,5.0
70.0,1.54
5.397605346934028e-79,1.01
31.0,0.94
27.0,5.397605346934028e-79
65.0,1.32
63.0,1.98
16.0,4.14
58.0,1.6
55.0,5.0
3.0,1.0
23.0,5.0
32.0,5.0
11.0,1.22
51.0,2.88
45.0,5.0
38.0,5.0
5.0,1.33
2.0,0.68
72.0,5.0
31.0,2.47
64.0,5.0
18.0,0.82
36.0,1.39
3.0,1.05
34.0,0.79
54.0,1.6
5.0,0.55
6.0,0.88
13.0,2.31
